business_name	,Open /Closed,Street Number,Street Name 1,Street Name 2,business_phone_number	,website,Facebook,Instagram,long_business_description,"Restaurants, Food & Drink, Grocery / Convenience Stores",Stores & Shopping,"Medical, Health, Wellness & Fitness",Arts & Entertainment,"Automotive, Contractors & Construction Materials",Hair & Nails,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",business_address,zip_code,business_website_address,,,,business_genre,business_contact_email
Gods Kreative Hands,,1715,South Street,"Philadelphia, PA 19146",(215) 560-8859,gods-kreative-hands-hair-salon.business.site/,facebook.com/godskreativehands/?ref=br_rs,,Hair Salon,,,,,,X,,1715 South Street,"Philadelphia, PA 19146",gods-kreative-hands-hair-salon.business.site/,,,,Hair & Nails,","
Kreationz by Hands Unisex Hair Studio,,1717,South Street,"Philadelphia, PA 19146",(267) 231-4239,barbershopinphiladelphiapa.com/,facebook.com/pages/Kreationz-by-Hand-Unisex-Hair-Studio/284934794927899,,Hair Salon,,,,,,X,,1717 South Street,"Philadelphia, PA 19146",barbershopinphiladelphiapa.com/,,,,Hair & Nails,","
Admirations Hair It Iz,,1733,South Street,"Philadelphia, PA 19146",(215) 564-2929,admirationshairitiz.com/main.html,facebook.com/admirationshairitiz,instagram.com/AdmirationsHairItIZ,Hair Salon,,,,,,X,,1733 South Street,"Philadelphia, PA 19146",admirationshairitiz.com/main.html,,,,Hair & Nails,","
Deluxe Hair Salon,,2209,South Street,"Philadelphia, PA 19146",(215) 732-3602,deluxehairsalon.com/,facebook.com/deluxehairsalonphilly,,Hair Salon,,,,,,X,,2209 South Street,"Philadelphia, PA 19146",deluxehairsalon.com/,,,,Hair & Nails,","
American Mortals 2101,,2101,Christian Street,"Philadelphia, PA 19146",(267) 519-2325,americanmortals.com/,facebook.com/americanmortals/?ref=br_rs,instagram.com/americanmortals,Hair Salon / Barber,,,,,,X,,2101 Christian Street,"Philadelphia, PA 19146",americanmortals.com/,,,,Hair & Nails,","
HK Hair Studio,,625,S 23rd Street,"Philadelphia, PA 19146",(267) 273-0438,hkhairstudiophilly.com/,facebook.com/HKhairstudioPhilly/,,Hair Studio,,,,,,X,,625 S 23rd Street,"Philadelphia, PA 19146",hkhairstudiophilly.com/,,,,Hair & Nails,","
Heaven Sent Hair Designers,,1448,South Street,"Philadelphia, PA 19146",(215) 893-1104,,facebook.com/pages/Heaven-Sent-Hair-Designers/145116322176276,,Hair Studio,,,,,,X,,1448 South Street,"Philadelphia, PA 19146",facebook.com/pages/Heaven-Sent-Hair-Designers/145116322176276,,,,Hair & Nails,","
The Indie Shelf,,2247,Grays Ferry Avenue,"Philadelphia, PA 19146",,theindieshelf.com/,facebook.com/theindieshelfphilly/,,Health & Beauty,,,,,,X,,2247 Grays Ferry Avenue,"Philadelphia, PA 19146",theindieshelf.com/,,,,Hair & Nails,","
Bethesda Project,,609,S 15th Street,"Philadelphia, PA 19146",(215) 732-2470,bethesdaproject.org/,facebook.com/bethesdaproject,instagram.com/bethesda_project,Health & Human Services,,,X,,,,,609 S 15th Street,"Philadelphia, PA 19146",bethesdaproject.org/,,,,"Medical, Health, Wellness & Fitness",","
Bethesda Project (Bainbridge),,700,S 15th Street,"Philadelphia, PA 19146",(215) 546-4961,bethesdaproject.org/,facebook.com/bethesdaproject,instagram.com/bethesda_project,Health & Human Services,,,X,,,,,700 S 15th Street,"Philadelphia, PA 19146",bethesdaproject.org/,,,,"Medical, Health, Wellness & Fitness",","
Bethesda Project - Brothers Keepers,,1628,South Street,"Philadelphia, PA 19146",(215) 985-1600,bethesdaproject.org/,facebook.com/bethesdaproject,instagram.com/bethesda_project,Health & Human Services,,,X,,,,,1628 South Street,"Philadelphia, PA 19146",bethesdaproject.org/,,,,"Medical, Health, Wellness & Fitness",","
Bethesda Project - Brothers Keepers,,1630,South Street,"Philadelphia, PA 19146",(215) 985-1600,bethesdaproject.org/,facebook.com/bethesdaproject,instagram.com/bethesda_project,Health & Human Services,,,X,,,,,1630 South Street,"Philadelphia, PA 19146",bethesdaproject.org/,,,,"Medical, Health, Wellness & Fitness",","
GAUDENZIA Washington House,,1516,Washington Avenue,"Philadelphia, PA 19146",(215) 985-1200,gaudenzia.org/,facebook.com/gaudenziaorg/,instagram.com/gaudenziainc/,Health & Human Services (addiction treatment),,,X,,,,,1516 Washington Avenue,"Philadelphia, PA 19146",gaudenzia.org/,,,,"Medical, Health, Wellness & Fitness",","
Mediation & Energy Reading,,2243,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 303-0269,,,,Health & Wellness,,,X,,,,,2243 Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,"Medical, Health, Wellness & Fitness",","
Six Fishes Neighborhood Acupuncture,,2308,Grays Ferry Avenue,"Philadelphia, PA 19146",(215) 772-1040,sixfishes.com/,facebook.com/pages/Six-Fishes-Chinese-Medicine/184226254964291,,Health & Wellness,,,X,,,,,2308 Grays Ferry Avenue,"Philadelphia, PA 19146",sixfishes.com/,,,,"Medical, Health, Wellness & Fitness",","
China Herb Co Inc,,750,S 15th Street,"Philadelphia, PA 19146",(215) 546-5870,chinaherbco.com/,facebook.com/chinaherbco/,instagram.com/chinaherbco/,Health & Wellness,,,X,,,,,750 S 15th Street,"Philadelphia, PA 19146",chinaherbco.com/,,,,"Medical, Health, Wellness & Fitness",","
Jefferson Methadone Clinic,,1021,S 21st Street,"Philadelphia, PA 19146",(215) 735-5979,hospitals.jefferson.edu/diseases-and-conditions/substance-abuse.html,facebook.com/jeffersonhospital,,Health & Wellness,,,X,,,,,1021 S 21st Street,"Philadelphia, PA 19146",hospitals.jefferson.edu/diseases-and-conditions/substance-abuse.html,,,,"Medical, Health, Wellness & Fitness",","
"Nutrition Unlimited, LLC",,1514,South Street,"Philadelphia, PA 19146",(267) 239-5637,nutritionunlimitedrd.com/,facebook.com/Nutrition-Unlimited-LLC-297951800337282,instagram.com/nutritionunlimited/,Health & Wellness,,,X,,,,,1514 South Street,"Philadelphia, PA 19146",nutritionunlimitedrd.com/,,,,"Medical, Health, Wellness & Fitness",","
Anjali Power Yoga,,1519,South Street,"Philadelphia, PA 19146",(856) 854-1182,anjalipoweryoga.com,facebook.com/Anjali-Power-Yoga-152546358093290/timeline/,instagram.com/anjalipoweryoga,Health & Wellness,,,X,,,,,1519 South Street,"Philadelphia, PA 19146",anjalipoweryoga.com,,,,"Medical, Health, Wellness & Fitness",","
Symmetry Dance Wellness,,1529,South Street,"Philadelphia, PA 19146",(267) 601-1442,dancewellness.com/,facebook.com/Symmetry-Dance-Wellness-110775858976719/?ref=br_rs,,Health & Wellness,,,X,,,,,1529 South Street,"Philadelphia, PA 19146",dancewellness.com/,,,,"Medical, Health, Wellness & Fitness",","
Health on South Rx,,1631,South Street,"Philadelphia, PA 19146",(215) 496-9595,healthonsouthrx.com/,facebook.com/philapharmacy/,,Health & Wellness,,,X,,,,,1631 South Street,"Philadelphia, PA 19146",healthonsouthrx.com/,,,,"Medical, Health, Wellness & Fitness",","
Puentes De Salud,,1700,South Street,"Philadelphia, PA 19146",(215) 454-8000,puentesdesalud.org/,facebook.com/pages/Puentes-de-Salud/188655424524571,,Health & Wellness,,,X,,,,,1700 South Street,"Philadelphia, PA 19146",puentesdesalud.org/,,,,"Medical, Health, Wellness & Fitness",","
Health Harbor Spa,,2006,South Street,"Philadelphia, PA 19146",(267) 633-8993,yelp.com/biz/health-harbor-spa-philadelphia,facebook.com/healthharborspaphiladelphia/,,Health & Wellness,,,X,,,,,2006 South Street,"Philadelphia, PA 19146",yelp.com/biz/health-harbor-spa-philadelphia,,,,"Medical, Health, Wellness & Fitness",","
Amrita Yoga South,,2306,South Street,"Philadelphia, PA 19146",(215) 600-7170,amritayogawellness.com/,facebook.com/Amrita-Yoga-and-Wellness-169252116437533/,instagram.com/amritayoga215,Health & Wellness,,,X,,,,,2306 South Street,"Philadelphia, PA 19146",amritayogawellness.com/,,,,"Medical, Health, Wellness & Fitness",","
Feelean Fitness Training Studio,,1551,Washington Avenue,"Philadelphia, PA 19146",(267) 679-7030,feeleanfitness.com/,facebook.com/FeeleanFit/,instagram.com/feeleanfitness/,Health & Wellness,,,X,,,,,1551 Washington Avenue,"Philadelphia, PA 19146",feeleanfitness.com/,,,,"Medical, Health, Wellness & Fitness",","
Commando Krav Maga & Diamond Mixed Martial Arts,,1714,Washington Avenue,"Philadelphia, PA 19146",(267) 592-9477,safestreetdefense.com/,facebook.com/KravMagaEliteWestAtlanticCity/,instagram.com/Diamondmmaphilly/,Health & Wellness,,,X,,,,,1714 Washington Avenue,"Philadelphia, PA 19146",safestreetdefense.com/,,,,"Medical, Health, Wellness & Fitness",","
OpenBox Athletics,,1901,Washington Avenue,"Philadelphia, PA 19146",(267) 787-2463,openboxathletics.com/,facebook.com/openboxathletics/,instagram.com/openboxathletics,Health & Wellness,,,X,,,,,1901 Washington Avenue,"Philadelphia, PA 19146",openboxathletics.com/,,,,"Medical, Health, Wellness & Fitness",","
BalletX,,1923,Washington Avenue,"Philadelphia, PA 19146",(215) 225-5389,balletx.org/,twitter.com/BalletX,instagram.com/balletx_philadelphia/,Health & Wellness,,,X,X,,,,1923 Washington Avenue,"Philadelphia, PA 19146",balletx.org/,,,,"Medical, Health, Wellness & Fitness",","
Raja Yoga and Meditation Center,,724,S 20th Street,"Philadelphia, PA 19146",(215) 880-4031,rajayogaphilly.com/,facebook.com/rajayogaphilly/,,Health and Wellness,,,X,,,,,724 S 20th Street,"Philadelphia, PA 19146",rajayogaphilly.com/,,,,"Medical, Health, Wellness & Fitness",","
Bhakti Garden,,1408,South Street,"Philadelphia, PA 19146",(267) 242-4805,,facebook.com/bhaktigarden/?ref=br_rs,,Health Services,,,X,,,,,1408 South Street,"Philadelphia, PA 19146",facebook.com/bhaktigarden/?ref=br_rs,,,,"Medical, Health, Wellness & Fitness",","
City Fitness Graduate Hospital,,2101,South Street,"Philadelphia, PA 19146",(215) 545-4114,cityfitnessphilly.com/,facebook.com/cityfitnessphilly,instagram.com/cityfitnessphilly/,Heath / Physical Fitness,,,X,,,,,2101 South Street,"Philadelphia, PA 19146",cityfitnessphilly.com/,,,,"Medical, Health, Wellness & Fitness",","
The Senior Resource Group,,2248,Christian Street,"Philadelphia, PA 19146",(855) 278-8731,theseniorresourcegroup.com/,facebook.com/theseniorresourcegroup/,,Heath Care / Insurance,,,X,,,,X,2248 Christian Street,"Philadelphia, PA 19146",theseniorresourcegroup.com/,,,,"Medical, Health, Wellness & Fitness",","
Homique,,1709,Washington Avenue,"Philadelphia, PA 19146",(215) 546-4663,homique.com/,,,Home furnishings (Furniture),,X,,,,,X,1709 Washington Avenue,"Philadelphia, PA 19146",homique.com/,,,,Stores & Shopping,","
Falcone's Interior,,1714,Washington Avenue,"Philadelphia, PA 19146",(267) 991-8904,,facebook.com/falconesflooring,,Home furnishings (Furniture),,X,,,,,X,1714 Washington Avenue,"Philadelphia, PA 19146",facebook.com/falconesflooring,,,,Stores & Shopping,","
ALLURE Window Treatments,,1714,Washington Avenue,"Philadelphia, PA 19146",(215) 463-0440,,facebook.com/AllureWTs/,,Home furnishings (Windows),,X,,,,,X,1714 Washington Avenue,"Philadelphia, PA 19146",facebook.com/AllureWTs/,,,,Stores & Shopping,","
The Deacon,,1600,Christian Street,"Philadelphia, PA 19146",,thedeaconphl.com/,facebook.com/thedeaconphl,instagram.com/thedeaconphl/,Hotel and Event Space,,,,,,,X,1600 Christian Street,"Philadelphia, PA 19146",thedeaconphl.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
New Day Spring Baptist Church,,1621,Bainbridge Street,"Philadelphia, PA 19146",(215) 545-7413,,,,House of Worship,,,,,,,X,1621 Bainbridge Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Holy Trinity Baptist Church,,1818,Bainbridge Street,"Philadelphia, PA 19146",(215) 546-5400,,,,House of Worship,,,,,,,X,1818 Bainbridge Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Saint Mary's Episcopal Church,,1831,Bainbridge Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,X,1831 Bainbridge Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Mt Horeb Holy Church,,2100,Catharine Street,"Philadelphia, PA 19146",(215) 732-4979,,,,House of Worship,,,,,,,X,2100 Catharine Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Philadelphia Ebenezer Seventh-day Adventist Church,,1437,Christian Street,"Philadelphia, PA 19146",(215) 545-2650,ebenezerphilasda.com/,,,House of Worship,,,,,,,X,1437 Christian Street,"Philadelphia, PA 19146",ebenezerphilasda.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Shiloh Baptist Church,,2040,Christian Street,"Philadelphia, PA 19146",(215) 735-2089,,facebook.com/Shiloh-Baptist-Church-113405902026521/?ref=br_rs,,House of Worship,,,,,,,X,2040 Christian Street,"Philadelphia, PA 19146",facebook.com/Shiloh-Baptist-Church-113405902026521/?ref=br_rs,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Union Baptist Church,,1910,Fitzwater Street,"Philadelphia, PA 19146",(215) 735-7273,,,,House of Worship,,,,,,,X,1910 Fitzwater Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
UNITED MUSLIM MOVEMENT,,810,S 15th Street,"Philadelphia, PA 19146",(215) 546-6555,ummonline.org/,facebook.com/UMMPhila/,,House of Worship,,,,,,,X,810 S 15th Street,"Philadelphia, PA 19146",ummonline.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
United House - Prayer for All People,,742,S 16th Street,"Philadelphia, PA 19146",(215) 545-9098,tuhopfap.org/,,,House of Worship,,,,,,,X,742 S 16th Street,"Philadelphia, PA 19146",tuhopfap.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
St Charles Borromeo Roman Catholic Church,,902,S 20th Street,"Philadelphia, PA 19146",(215) 735-0600,stcb-southphila.com/,facebook.com/St-Charles-Borromeo-Church-1422962841251958/?ref=br_rs,,House of Worship,,,,,,,X,902 S 20th Street,"Philadelphia, PA 19146",stcb-southphila.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH,,701,S 22nd Street,"Philadelphia, PA 19146",(215) 735-8982,tcljc.com/,,,House of Worship,,,,,,,X,701 S 22nd Street,"Philadelphia, PA 19146",tcljc.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Church of God & Saints-Christ (First Tabernacle),,602,S Broad Street,"Philadelphia, PA 19146",(215) 545-4908,,,,House of Worship,,,,,,,X,602 S Broad Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
TINDLEY TEMPLE UNITED METHODIST CHURCH,,750,S Broad Street,"Philadelphia, PA 19146",(215) 735-0442,tindleytemple.net/,facebook.com/pages/Tindley-Temple-United-Methodist-Church/233513160040980,,House of worship,,,,,,,X,750 S Broad Street,"Philadelphia, PA 19146",tindleytemple.net/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Circle Mission Church Home,,772,S Broad Street,"Philadelphia, PA 19146",(215) 735-3917,,facebook.com/pages/Father-Divines-Circle-Mission-church-home/103805763038842,,House of worship,,,,,,,X,772 S Broad Street,"Philadelphia, PA 19146",facebook.com/pages/Father-Divines-Circle-Mission-church-home/103805763038842,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Moorish science temple of America,,2022,South Street,"Philadelphia, PA 19146",(215) 985-1250,,,,House of Worship,,,,,,,X,2022 South Street,"Philadelphia, PA 19146",,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
GRACE & PEACE COMMUNITY CHURCH,,1701,Washington Avenue,"Philadelphia, PA 19146",(484) 483-5837,graceandpeacecommunitychurch.org/,facebook.com/graceandpeacecommunitychurch,,House of worship,,,,,,,X,1701 Washington Avenue,"Philadelphia, PA 19146",graceandpeacecommunitychurch.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
State Farm - Judd Greenburg,,1546,South Street,"Philadelphia, PA 19146",(215) 732-5400,insurancephilly.com,facebook.com/Judd-Greenberg-State-Farm-Agent-322260837810789/?ref=br_rs,,Insurance,,,,,,,X,1546 South Street,"Philadelphia, PA 19146",insurancephilly.com,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
BIG 8 SUPERMARKET INC,,1600,Carpenter Street,"Philadelphia, PA 19146",(215) 735-2299,,facebook.com/Big8Supermarket/,,Grocery Store,X,,,,,,,1600 Carpenter Street,"Philadelphia, PA 19146",facebook.com/Big8Supermarket/,,,,"Restaurants, Food & Drink, Grocery / Convenience Stores",","
Workshop Underground,,1544,South Street,"Philadelphia, PA 19146",(215) 987-3534,workshopunderground.com/,facebook.com/workshopunderground/?ref=br_rs,,Jewelry Store,,X,,,,,X,1544 South Street,"Philadelphia, PA 19146",workshopunderground.com/,,,,Stores & Shopping,","
Community Laundromat,,1501,Montrose Street,"Philadelphia, PA 19146",(215) 735-1207,communitylaundromat.com/,facebook.com/pages/Community-Laundromat/960265694060170?ref=br_rs,,Laundromat,,,,,,,X,1501 Montrose Street,"Philadelphia, PA 19146",communitylaundromat.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Maytag Laundromat,,1801,Washington Avenue,"Philadelphia, PA 19146",(215) 985-0179,,facebook.com/pages/Maytag-Laundromat/162828750412143,,Laundromat,,,,,,,X,1801 Washington Avenue,"Philadelphia, PA 19146",facebook.com/pages/Maytag-Laundromat/162828750412143,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Mark D. Hauser,,620,S Broad Street,"Philadelphia, PA 19146",(267) 258-4330,markdhauser.com/,,,Lawyer,,,,,,,X,620 S Broad Street,"Philadelphia, PA 19146",markdhauser.com/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
SOSNA (South of South Neighborhood Association),,1901,Christian Street,"Philadelphia, PA 19146",(215) 732-8446,southofsouth.org/,facebook.com/southofsouthphl,instagram.com/southofsouthphl,Local Government,,,,,,,X,1901 Christian Street,"Philadelphia, PA 19146",southofsouth.org/,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Family Dentistry - Silvana Cumani DMD & Associates PC,,2200,Montrose Street,"Philadelphia, PA 19146",(215) 545-4395,drcumani.com/,,,Medical,,,X,,,,X,2200 Montrose Street,"Philadelphia, PA 19146",drcumani.com/,,,,"Medical, Health, Wellness & Fitness",","
Avenue of the Arts Dental,,624,S Broad Street,"Philadelphia, PA 19146",(215) 795-3423,avenueartsdental.com,facebook.com/AveofArtsDental,,Medical,,,X,,,,X,624 S Broad Street,"Philadelphia, PA 19146",avenueartsdental.com,,,,"Medical, Health, Wellness & Fitness",","
Fresenius Kidney Care,,1740,South Street,"Philadelphia, PA 19146",(800) 881-5101,freseniuskidneycare.com/dialysis-centers/pennsylvania/philadelphia/1740-south-st-19146/2678,facebook.com/freseniuskidneycare,twitter.com/freseniuskc,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",freseniuskidneycare.com/dialysis-centers/pennsylvania/philadelphia/1740-south-st-19146/2678,,,,"Medical, Health, Wellness & Fitness",","
Center City Pediatrics,,1740,South Street,"Philadelphia, PA 19146",(215) 735-5600,centercitypediatrics.com/,facebook.com/Center-City-Pediatrics-565529503462918/?ref=br_rs,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",centercitypediatrics.com/,,,,"Medical, Health, Wellness & Fitness",","
Center City Oral & Maxillofacial Surgery,,1740,South Street,"Philadelphia, PA 19146",(267) 437-7540,centercityoms.com/,facebook.com/Center-City-Oral-Maxillofacial-Surgery-1238354252895407/,instagram.com/centercityoms/?hl=en,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",centercityoms.com/,,,,"Medical, Health, Wellness & Fitness",","
PHA Adult Medicine,,1740,South Street,"Philadelphia, PA 19146",(215) 732-0876,phaadultmedicine.com/,facebook.com/PHAAdultMedicine/?ref=br_rs,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",phaadultmedicine.com/,,,,"Medical, Health, Wellness & Fitness",","
Center City Cleanse,,1740,South Street,"Philadelphia, PA 19146",(267) 994-1686,centercitycleanse.com/,facebook.com/Center-City-Cleanse-274867969693448/,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",centercitycleanse.com/,,,,"Medical, Health, Wellness & Fitness",","
City Ophthalmology,,1740,South Street,"Philadelphia, PA 19146",(267) 607-6888,cityophthalmology.com/,,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",cityophthalmology.com/,,,,"Medical, Health, Wellness & Fitness",","
Grays Ferry Medical Center,,1740,South Street,"Philadelphia, PA 19146",(215) 468-7220,,,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",,,,,"Medical, Health, Wellness & Fitness",","
Dr. Leonard Rosenfeld & Associates,,1740,South Street,"Philadelphia, PA 19146",(215) 382-6112,,,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",,,,,"Medical, Health, Wellness & Fitness",","
Walters Counseling,,1740,South Street,"Philadelphia, PA 19146",(215) 990-4390,walterscounseling.com/,facebook.com/WaltersCounseling/?ref=br_rs,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",walterscounseling.com/,,,,"Medical, Health, Wellness & Fitness",","
Advanced Arm Dynamics,,1740,South Street,"Philadelphia, PA 19146",(215) 735-0291,armdynamics.com/about-us/philadelphia-clinic,facebook.com/173946042627528,instagram.com/armdynamics,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",armdynamics.com/about-us/philadelphia-clinic,,,,"Medical, Health, Wellness & Fitness",","
Center for Foot and Ankle Disorders,,1740,South Street,"Philadelphia, PA 19146",(215) 546-1618,centerforfootandankledisorders.com/,facebook.com/centerforfootandankledisorders,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",centerforfootandankledisorders.com/,,,,"Medical, Health, Wellness & Fitness",","
Grand and Verdi LLC,,1740,South Street,"Philadelphia, PA 19146",(215) 333-7562,grandandverdi.com,facebook.com/Grand-and-Verdi-LLC-289449991195571/,,Medical,,,X,,,,X,1740 South Street,"Philadelphia, PA 19146",grandandverdi.com,,,,"Medical, Health, Wellness & Fitness",","
CHOP- The Roberts Center for Pediatric Research,,2716,South Street,"Philadelphia, PA 19146",(800) 879-2467,chop.edu/,facebook.com/ChildrensHospitalofPhiladelphia,instagram.com/childrensphila,Medical,,,X,,,,X,2716 South Street,"Philadelphia, PA 19146",chop.edu/,,,,"Medical, Health, Wellness & Fitness",","
Penn Medicine - Tuttleman Center,,1840,South Street,"Philadelphia, PA 19146",(215) 893-6200,pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/penn-medicine-rittenhouse,facebook.com/pennmed/,,Medical,,,X,,,,X,1840 South Street,"Philadelphia, PA 19146",pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/penn-medicine-rittenhouse,,,,"Medical, Health, Wellness & Fitness",","
Christian Street Pharmacy,,1947,Christian Street,"Philadelphia, PA 19146",(215) 545-3582,,facebook.com/pages/Christian-St-Pharmacy/126025350785497,,Medical / Pharmacy,,,X,,,,,1947 Christian Street,"Philadelphia, PA 19146",facebook.com/pages/Christian-St-Pharmacy/126025350785497,,,,"Medical, Health, Wellness & Fitness",","
Marian Anderson Historical Society & Museum,,762,Martin Street,"Philadelphia, PA 19146",(215) 779-4219,marianandersonhistoricalsociety.weebly.com/,facebook.com/The-Marian-Anderson-Historical-Society-413674602053693/timeline/,,Museum / Historical Society,,,,X,,,,762 Martin Street,"Philadelphia, PA 19146",marianandersonhistoricalsociety.weebly.com/,,,,Arts & Entertainment,","
Christian Nails & Spa,,1537,Christian Street,"Philadelphia, PA 19146",(267) 519-2637,,facebook.com/christiannailsandspa/,,Nail Salon,,,,,,X,,1537 Christian Street,"Philadelphia, PA 19146",facebook.com/christiannailsandspa/,,,,Hair & Nails,","
Nineteen Nails & Spa,,770,S 19th Street,"Philadelphia, PA 19146",(215) 732-1087,nineteen-nail-spa.business.site/,facebook.com/Nineteen-nailspa-601359040311288/?ref=br_rs,,Nail Salon,,,,,,X,,770 S 19th Street,"Philadelphia, PA 19146",nineteen-nail-spa.business.site/,,,,Hair & Nails,","
Queen Nails & Spa,,1515,South Street,"Philadelphia, PA 19146",(215) 546-1088,,facebook.com/pages/Queen-Nails-and-Spa/116015058478635,,Nail Salon,,,,,,X,,1515 South Street,"Philadelphia, PA 19146",facebook.com/pages/Queen-Nails-and-Spa/116015058478635,,,,Hair & Nails,","
Polished By An Angel Nail Salon,,1731,South Street,"Philadelphia, PA 19146",(215) 546-2348,,facebook.com/pages/Polished-By-An-Angel-Nail-Salon/745155412195108?ref=br_rs,,Nail Salon,,,,,,X,,1731 South Street,"Philadelphia, PA 19146",facebook.com/pages/Polished-By-An-Angel-Nail-Salon/745155412195108?ref=br_rs,,,,Hair & Nails,","
Heritage Nails,,1830,South Street,"Philadelphia, PA 19146",(215) 515-3576,facebook.com/MiraNailsPhiladelphia/,,,Nail Salon,,,,,,X,,1830 South Street,"Philadelphia, PA 19146",facebook.com/MiraNailsPhiladelphia/,,,,Hair & Nails,","
